Player,Pos,School,College,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr),Player-additional,Drafted
Jimmy Horn Jr.,WR,Colorado,College Stats,8-May,174,4.46,38,,128,,4.41,Carolina Panthers / 6th / 208th pick / 2025,HornJi00,1
Montrell Johnson Jr.,RB,Florida,College Stats,11-May,212,4.41,35.5,,123,,4.29,,JohnMo00,0
Demetrius Knight Jr.,LB,South Carolina,College Stats,2-Jun,235,4.58,31.5,22,118,7.12,4.25,Cincinnati Bengals / 2nd / 49th pick / 2025,KnigDe00,1
Jason Marshall Jr.,CB,Florida,College Stats,Jun-00,194,4.49,37.5,,125,,,Miami Dolphins / 5th / 150th pick / 2025,MarsJa00,1
Chris Paul Jr.,LB,Mississippi,College Stats,1-Jun,222,4.63,36,,117,,,Los Angeles Rams / 5th / 172nd pick / 2025,PaulCh01,1
James Pearce Jr.,EDGE,Tennessee,College Stats,5-Jun,245,4.47,31,,123,,,Atlanta Falcons / 1st / 26th pick / 2025,PearJa00,1
Shavon Revel Jr.,CB,East Carolina,College Stats,2-Jun,194,,,,,,,Dallas Cowboys / 3rd / 76th pick / 2025,ReveSh00,1
Dont'e Thornton Jr.,WR,Tennessee,College Stats,5-Jun,205,4.3,33,,126,,,Las Vegas Raiders / 4th / 108th pick / 2025,ThorDo00,1
Dante Trader Jr.,SAF,Maryland,College Stats,11-May,196,,31,12,117,7.09,4.32,Miami Dolphins / 5th / 155th pick / 2025,TradDa00,1
Antwane Wells Jr.,WR,Mississippi,College Stats,1-Jun,201,4.58,34,,124,,,,WellAn00,0
Kevin Winston Jr.,SAF,Penn St.,College Stats,2-Jun,215,,,,,,,Tennessee Titans / 3rd / 82nd pick / 2025,WinsKe02,1
Quinshon Judkins,RB,Ohio St.,College Stats,Jun-00,221,4.48,38.5,,132,,,Cleveland Browns / 2nd / 36th pick / 2025,JudkQu00,1
DeAndre Jules,DT,South Carolina,College Stats,4-Jun,316,,,,,,,,-9999,0
Luke Kandra,G,Cincinnati,College Stats,5-Jun,319,,,,,,,,KandLu00,0
Josh Kelly,WR,Texas Tech,College Stats,1-Jun,186,4.7,33,,121,7.02,,,-9999,0
Drew Kendall,C,Boston Col.,College Stats,4-Jun,308,5.05,,,,7.56,4.51,Philadelphia Eagles / 5th / 168th pick / 2025,KendDr00,1
Kyle Kennard,EDGE,South Carolina,College Stats,4-Jun,254,4.73,,23,,,,Los Angeles Chargers / 4th / 125th pick / 2025,KennKy00,1
Corey Kiner,RB,Cincinnati,College Stats,9-May,209,4.57,,19,,,,,KineCo00,0
Kobe King,LB,Penn St.,College Stats,1-Jun,236,,,,,,,Minnesota Vikings / 6th / 201st pick / 2025,KingKo00,1
Jack Kiser,LB,Notre Dame,College Stats,2-Jun,231,,,,,,,Jacksonville Jaguars / 4th / 107th pick / 2025,KiseJa00,1
Bilhal Kone,CB,Western Michigan,College Stats,1-Jun,190,4.43,31.5,,124,,,Baltimore Ravens / 6th / 178th pick / 2025,KoneBi00,1
Brant Kuithe,TE,Utah,College Stats,2-Jun,236,,,,,,,,KuitBr00,0
Luke Lachey,TE,Iowa,College Stats,6-Jun,251,,35,,120,7.18,4.47,Houston Texans / 7th / 255th pick / 2025,LachLu00,1
KeAndre Lambert-Smith,WR,Auburn,College Stats,1-Jun,190,4.37,34.5,,124,,,Los Angeles Chargers / 5th / 158th pick / 2025,LambKe01,1
Jaylin Lane,WR,Virginia Tech,College Stats,10-May,191,4.34,40,14,132,6.75,4.12,Washington Commanders / 4th / 128th pick / 2025,LaneJa00,1
Riley Leonard,QB,Notre Dame,College Stats,4-Jun,216,,,,,,,Indianapolis Colts / 6th / 189th pick / 2025,LeonRi02,1
Cody Lindenberg,LB,Minnesota,College Stats,2-Jun,236,,,,,,,Las Vegas Raiders / 7th / 222nd pick / 2025,LindCo00,1
Steve Linton,EDGE,Baylor,College Stats,4-Jun,242,,32.5,21,124,7.25,,,LintSt00,0
Robert Longerbeam,CB,Rutgers,College Stats,11-May,175,4.39,36.5,,134,,,,-9999,1
Tyler Loop,K,Arizona,College Stats,11-May,191,,,,,,,,-9999,1
Colston Loveland,TE,Michigan,College Stats,6-Jun,248,,,,,,,Chicago Bears / 1st / 10th pick / 2025,LoveCo00,1
Dominic Lovett,WR,Georgia,College Stats,10-May,185,4.4,33.5,,120,,4.27,Detroit Lions / 7th / 244th pick / 2025,LoveDo00,1
Chase Lundt,OT,Connecticut,College Stats,8-Jun,304,,,,,,,Buffalo Bills / 6th / 206th pick / 2025,LundCh00,1
